2019,amazing,aoc,baby,bad,beautiful,believe,best,better,birthday,bitch,cleared,damn,done,family,favorite,first,free,friend,friends,fun,game,girl,give,god,good,great,happy,hate,hi,high,home,hope,life,like,live,lol,love,money,morning,music,never,new,newyork,nice,nyfw,party,photo,play,pretty,read,ready,real,realdonaldtrump,right,shit,song,sotu,thank,thanks,TRUE,valentine,weekend,well,win,wish,women,world,wow,wrong,yes,lab_score,slang_count,exclam_count,text,date,location
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,b'At UN Security Council discussion on transnational organized crime at sea @KuwaitMissionUN cites impact of safe sea\xe2\x80\xa6 https://t.co/1vImylKpU8',Tue Feb 05 16:51:01 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.635384615,0,0,b'The streets of Boston are jumping today celebrating the Patriots. @WCVB is providing great parade coverage for our\xe2\x80\xa6 https://t.co/YdRkpX0DFl',Tue Feb 05 16:51:01 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.187272727,0,0,b'Even my haters had to switch \xf0\x9f\x98\x8f.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\nmike_lens_ \n#bronx \n#newyork \n#art\n#artist\n#vsco\n#swag @\xe2\x80\xa6 https://t.co/LA64VFNZ3p',Tue Feb 05 16:50:59 +0000 2019,"Bronx, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,"b'Si pero, todas las semanas de Jueves a Domingo en una discoteca? Y que es lo que trabajan?'",Tue Feb 05 16:50:58 +0000 2019,"Bronx, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,b'@MikeSGallagher it would be v cool if they did tho',Tue Feb 05 16:50:57 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.368,0,0,b'The people part of a company is more important than the work part. Why? Because people do the work.',Tue Feb 05 16:50:57 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7925,0,0,"b'Mr. Prez. If the Jews are our greatest allie in the middle east, then why did they attack our ship in 1968 while kn\xe2\x80\xa6 https://t.co/gmbPO1zA7w'",Tue Feb 05 16:50:56 +0000 2019,"Yonkers, NY"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.577777778,0,1,b'What an amazing group of women! I will be memorizing Stacey Abrams\xe2\x80\x99 speech tonight. https://t.co/C3dS9pi5Rq',Tue Feb 05 16:50:56 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.892,0,0,b'@upsetaurus I do love you https://t.co/bDX5yjOBfJ',Tue Feb 05 16:50:52 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.977777778,0,0,b'@BojeConnie @MarcieBianco Because there is no oppression anywhere in the world caused by males who are not white?',Tue Feb 05 16:50:49 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.224,0,0,b'@nariostan siraulo hahahahaha',Tue Feb 05 16:50:48 +0000 2019,"Queens, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,b'@emilybalcerak @ me next time',Tue Feb 05 16:50:45 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,b'@pkminyg (In time for the Grammys??) Enjoy  ',Tue Feb 05 16:50:45 +0000 2019,"New York, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0,b'@charliekirk11 FALSE https://t.co/3A5Mvyv0ZP',Tue Feb 05 16:50:45 +0000 2019,"Queens, NY"
